2022 Rough Count Cases,from,to,2022Total(G:M),21NOV,21DEC,22JAN,FEB,March,April,May,June,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,,,,,,,,,
Update To:,00/01/1900,14/1/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,指出損傷性質,1,擦傷,6,撞傷及瘀傷,11,電擊,16,中毒,,
,,,,,,,,,,,,,,,,,,,,,,,,2,截斷,7,腦震盪,12,骨折,17,受刺激,,
,,,,,,,,,,,,,,,,,,,,,,,,3,窒息,8,割傷,13,刺傷,18,惡心,,
,,,,,,,,,,,,,,,,,,,,,,,,4,燙傷（受熱）,9,脫臼,14,扭傷,19,多處受傷,,
??Acc意外,意外,,,,,,,,,,,,,,,,,,,,,,,5,其他類型燒傷,10,壓傷,15,凍傷,20,其他,,
??Acc意外,Date,type,link,Description,,,,,,,,,??交通航空意外,Date,link,Description,,,,,,,,,,,,,,,,,
??Acc意外,3/11/2013,https://e123.hk/news/187565,地盤泥車倒駛60米輾斃女工 ,,,,,,,,,,??交通航空意外,18/4/2024,https://www.hk01.com/article/1011448?utm_source=01articlecopy&utm_medium=referral,長沙灣呈祥道貨車失事翻側　橫亙行車線　往荃灣交通擠塞,,,,,,,,,,,,,,,,,
??Acc意外,5/1/2016,https://hk.news.yahoo.com/%E5%A5%B3%E5%B7%A5%E9%81%AD%E9%81%8B%E8%BC%B8%E5%B8%B6%E8%BC%BE%E6%96%B7%E8%87%82-%E7%BE%8E%E5%BF%83%E8%84%AB%E7%BD%AA-072800626.html,女工遭運輸帶輾斷臂 美心脫罪,,,,,,,,,,??交通航空意外,18/4/2024,https://www.hk01.com/article/1011353?utm_source=01articlecopy&utm_medium=referral,屯門公路私家車硬撼龍門　車身斷開兩截釀3死,,,,,,,身體的損傷部位,,頭部,,頸部及軀幹,,上肢,,下肢,,
??Acc意外,19/9/2017,https://www.hk01.com/article/120277?utm_source=01articlecopy&utm_medium=referral,【老婦遭輾斃】貨車倒後撞死88歲白頭婆婆　警急欲會晤家人,,,,,,,,,,??交通航空意外,17/4/2024,https://www.hk01.com/article/1011018?utm_source=01articlecopy&utm_medium=referral,新清水灣道旅巴撼泥頭車車尾　司機一度被困　1女乘客受傷送院,,,,,,,,21,頭顱/頭皮,31,頸,41,手指,51,臀,61,多處部位
??Acc意外,27/10/2017,http://www.hk01.com/article/128205?utm_source=01articlecopy&utm_medium=referral,女蛇王曾遭毒蛇咬　手腫如紅膠手套　靠祖傳秘方救命惟非萬試萬靈,,,,,,,,,,??交通航空意外,18/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240418/bkn-20240418020818017-0418_00822_001.html,車Cam直擊 ： 屯門電單車停車線前突衝出　鐵騎士遭私家車撞到飛起,,,,,,,,22,眼,32,背,42,手/手掌,52,大腿,,
??Acc意外,16/6/2018,https://www.hk01.com/article/200208?utm_source=01articlecopy&utm_medium=referral,【奪命車禍】剛過60大壽　貨Van司機深水?落貨　遭水車從後撞斃,,,,,,,,,,??交通航空意外,18/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240418/bkn-20240418034647562-0418_00822_001.html,屯門公路私家車猛撼龍門架斷開兩截　乘客拋出車外釀3死,,,,,,,,23,耳,33,胸,43,前臂,53,膝,,
??Acc意外,14/11/2018,https://www.hk01.com/article/259054?utm_source=01articlecopy&utm_medium=referral,醫生停牌後復牌　理據不公開　業界公眾難監督,,,,,,,,,,??交通航空意外,18/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240418/bkn-20240418090448466-0418_00822_001.html,落馬洲警車與九巴相撞　原因待查,,,,,,,,24,口/牙齒,34,腹,44,手肘,54,小腿,,
??Acc意外,21/6/2019,https://www.hk01.com/article/343122?utm_source=01articlecopy&utm_medium=referral,"【生活百科】風扇掛支裝「冰種」即變「冷氣」　背後暗藏漏電危機？冰膽雪種放摩打上面, 融雪滲水漏電玩死自己. 但如果放前面, 多少有?用, 效果可以接受",,,,,,,,,,??交通航空意外,18/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240418/bkn-20240418020533575-0418_00822_001.html,外籍男學童大口環道橫過斑馬線捱撞　與死神擦身而過,,,,,,,,25,鼻,35,軀幹,45,上臂,55,足踝,,
??Acc意外,17/7/2019,https://www.hk01.com/article/353142?utm_source=01articlecopy&utm_medium=referral,【屯門奪命工傷】天降石屎擊中頭部　翠鳴臺地盤37歲測量員不治,,,,,,,,,,??交通航空意外,18/4/2024,https://www.hk01.com/article/1011416?utm_source=01articlecopy&utm_medium=referral,愉景灣女子捱校巴撞捲入車底　昏迷送院　留醫1日不治,,,,,,,,26,面,36,盤骨/腹股溝,46,肩膀,56,腳,,
??Acc意外,16/10/2019,https://www.hk01.com/article/386921?utm_source=01articlecopy&utm_medium=referral,【恐怖工傷】蓮塘口岸升降台疑吊運期間飛墮　壓中女工浴血重創,,,,,,,,,,??交通航空意外,18/4/2024,https://www.hk01.com/article/1011381?utm_source=01articlecopy&utm_medium=referral,湖南歲半男童獨自過馬路　慘遭校巴輾斃　網民：家長責任不可推卸,,,,,,,,,,,,,,,,,
??Acc意外,21/11/2019,https://www.hk01.com/article/400806?utm_source=01articlecopy&utm_medium=referral,【奪命工傷】赤?角地盤運水車輾過女工　頭傷當場死亡,,,,,,,,,,??交通航空意外,19/4/2024,https://www.hk01.com/article/1011724?utm_source=01articlecopy&utm_medium=referral,警荃灣區打擊的士違例及違泊　發937張牛肉乾拖走4車,,,,,,,意外類別,1,受困於物件之內或物件之間,,,,,9,觸電或接觸放出的電流,,
??Acc意外,2/3/2020,lightning strike,https://www.hk01.com/sns/article/441942,澳洲女在家沖涼被雷擊中送院 專家稱雷雨時在家應遠離呢?物品…,,,,,,,,,??交通航空意外,19/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240419/bkn-20240419060724086-0419_00822_001.html,油麻地加士居道天橋的士撼水馬　來回全線一度封閉,,,,,,,,2,提舉或搬運物件時受傷,,,,,10,受困於倒塌或翻側的物件,,
??Acc意外,1/7/2020,lightning strike,https://www.hk01.com/sns/article/492671,印度2男1女遭雷劈只是悲慘開端 竟遭村民埋牛糞下延誤送醫釀兩死,,,,,,,,,??交通航空意外,19/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240419/bkn-20240419092347924-0419_00822_001.html,油麻地Tesla自炒翻側　司機一度被困,,,,,,,,3,滑倒、絆倒或在同一高度跌倒人體從高處墮下,,,,,11,遭移動或墮下的物件撞擊,,
??Acc意外,10/9/2020,lightning strike,https://www.hk01.com/sns/article/521868,行山意外｜中年婦衛奕信徑遭雷劈雨傘完好無缺 山藝教練分析因由,,,,,,,,,??交通航空意外,18/4/2024,https://www.hk01.com/article/1011639?utm_source=01articlecopy&utm_medium=referral,沙頭角垃圾車翻側司機有驚無險　「垃圾山」湧出擋路交通受阻,,,,,,,,4,人體下墮,,,,,12,遭移動中的車輛撞倒,,
??Acc意外,10/9/2020,lightning strike,https://www.hk01.com/sns/article/521764?utm_source=01articlecopy&utm_medium=referral,行山被雷劈｜雷暴警告下　將軍澳婦擔遮行山遭雷擊　腰腳灼傷送院,,,,,,,,,??交通航空意外,18/4/2024,https://www.hk01.com/article/1011463?utm_source=01articlecopy&utm_medium=referral,呈祥道七人車撼燈柱　往荃灣方向交通擠塞,,,,,,,,5,與固定或不動的物件碰撞,,,,,13,觸及開動中的機器或觸及以機器製造中的物件,,
??Acc意外,8/12/2020,https://www.hk01.com/article/558852?utm_source=01articlecopy&utm_medium=referral,DR誤殺案｜女西醫麥允齡判囚3年半　面對民事索償及失醫生資格,,,,,,,,,,??交通航空意外,18/4/2024,https://www.tkww.hk/a/202404/18/AP6620cbdbe4b0916e28f4c800.html,（有片）白加士街寶馬失控　撞車毀燈柱再撞3人　1人昏迷送院,,,,,,,,6,與移動的物件碰撞,,,,,14,遇溺,,
??Acc意外,28/3/2021,https://www.hk01.com/article/605074?utm_source=01articlecopy&utm_medium=referral,倒車撞死友人後離開　上水私家車司機折返酒精測試「爆錶」,,,,,,,,,,??交通航空意外,16/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240416/bkn-20240416083632723-0416_00822_001.html,青嶼幹線快線5車串燒　往大嶼山方向交通受阻,,,,,,,,7,踏在物件上,,,,,15,火警燒傷,,
??Acc意外,16/7/2021,lightning strike,https://www.hk01.com/sns/article/651272,山頂3名地盤男工協助天秤吊貨 疑被雷擊中 四肢麻痺灼傷送院,,,,,,,,,??交通航空意外,16/4/2024,https://www.hk01.com/article/1010784?utm_source=01articlecopy&utm_medium=referral,愉景灣女子遭校巴撞倒捲入車底　昏迷送院搶救　司機涉危駕被捕,,,,,,,,8,暴露於有害物質中或接觸有害物質,,,,,16,爆炸受傷,,
??Acc意外,23/12/2021,http://www.acd.com.au/chinese-news/wushuijingxiezhaoqi-lianggongrenyundaoduobi/,污水井泄沼氣 兩工人暈倒墮斃,,,,,,,,,,??交通航空意外,15/4/2024,https://www.hk01.com/article/1010337?utm_source=01articlecopy&utm_medium=referral,大埔工業村貨車疑收掣不及撞中前車車尾　司機受傷一度被困,,,,,,,,,,,,,,17,其他,,
??Acc意外,30/5/2022,lightning strike,https://www.hk01.com/sns/article/775789,四川7人上山挖蟲草遭雷擊斃 村民：都在4000米高山上過夜,,,,,,,,,??交通航空意外,15/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240415/bkn-20240415035548568-0415_00822_001.html,大埔男子橫過斑馬線捱撞　涉事私家車不顧而去,,,,,,,,,,,,,,,,,
??Acc意外,13/6/2022,Collapsed Erection,https://news.tvbs.com.tw/local/1847583,大潭電廠棚架倒塌,,,,,,,,,??交通航空意外,13/4/2024,https://www.hk01.com/article/1009963?utm_source=01articlecopy&utm_medium=referral,男司機半年釀44車禍惹疑　警搗碰瓷黨拘11人　8學生涉收錢做乘客,,,,,,,,,,,,,,,,,
??Acc意外,21/6/2022,Hit against moving plant,https://www.hk01.com/sns/article/784023,屯門鐵廠工人遭鏟車撞 頭傷昏迷送院,,,,,,,,,??交通航空意外,13/4/2024,https://www.hk01.com/article/1009885?utm_source=01articlecopy&utm_medium=referral,上水彩園路5車相撞　碎片散落一地,,,,,,,,,,,,,,,,,
