??Fire火暑熱,Date,type,link,Description,,,,,,type,Date,link,Description,,,,,type,Date,link,Description,,,,,type,Date,link,Description,,,
??Fire火暑熱,19/11/2022,fire,https://www.hk01.com/article/838129?utm_source=01articlecopy&utm_medium=referral,比亞迪惠州廠房起火無人傷亡　原因調查中,,,,,,HACK,13/12/2022,https://www.blocktempo.com/why-defi-arbitrageurs-earn-more-than-hackers/,獲利1500萬美元成本僅數千元，DeFi套利者竟比駭客還賺？,,,,,??人間有情,11/9/2020,https://youtu.be/Lmk2kBJ78v4?si=GTOj3ee1LNcajhaN,河國榮3層獨立屋收養12隻大狗 聖誕節愛犬因急性胰臟炎離世,,,,,治安異腦,6/1/2023,https://tw.news.yahoo.com/%E9%85%92%E6%94%A4%E4%B8%AD%E7%8C%9D%E6%AD%BB%E5%8D%B3%E6%99%82cpr-%E6%85%8E%E9%81%B8%E9%85%92%E5%8F%8B%E5%8F%AF%E6%95%91%E5%91%BD-035734475.html,酒攤中猝死即時CPR 慎選酒友可救命,,,
??Fire火暑熱,18/11/2022,fire,https://www.hk01.com/article/837675?utm_source=01articlecopy&utm_medium=referral,加沙地帶難民營火災　至少21死,,,,,,HACK,13/12/2022,https://www.bnext.com.tw/article/73176/vanuatu-internet-202212,被駭客攻擊，一個國家網路癱瘓1個月！公務員只能用紙筆、3成系統還在修,,,,,??人間有情,21/2/2022,https://www.hk01.com/article/869755?utm_source=01articlecopy&utm_medium=referral,男子訛稱出租車位呃逾$46萬落網 警檢$800萬財物包括多隻勞力士,,,,,治安異腦,5/1/2023,http://cnews.chinadaily.com.cn/a/202301/05/WS63b6980fa3102ada8b229d8c.html,陽康後劇烈運動猝死是因為心肌炎？專家提示這些心肌炎臨床症狀需重視,,,
??Fire火暑熱,17/11/2022,fire,https://www.hk01.com/article/837460?utm_source=01articlecopy&utm_medium=referral,韓國大邱加氣站爆炸起火　橙紅色火光飛噴大馬路　8人受傷送院,,,,,,HACK,13/12/2022,https://www.newmobilelife.com/2022/12/13/hack-samsung-galaxy-s22-in-55s/,黑客 55 秒破解 Samsung Galaxy S22,,,,,??人間有情,22/2/2022,https://www.hk01.com/article/870215?utm_source=01articlecopy&utm_medium=referral,警放蛇打擊白牌車 2男司機被捕,,,,,治安異腦,6/1/2023,https://www.upmedia.mg/news_info.php?Type=24&SerialNo=163294,中國入境來台陽性定序鎖定3種變異株 BA.5.2、BF.7居多,,,
??Fire火暑熱,17/11/2022,fire,https://www.hk01.com/article/837374?utm_source=01articlecopy&utm_medium=referral,台女稱買不夠1年名牌空氣清新機竟「自燃起火」：害我家付之一炬,,,,,,HACK,13/12/2022,https://inews.hket.com/article/3419439/%E3%80%90%E6%B3%A8%E6%84%8F%E6%9B%B4%E6%96%B0%E3%80%91%E5%BE%AE%E8%BB%9F%E7%A2%BA%E8%AA%8D%E9%98%B2%E6%AF%92%E8%BB%9F%E4%BB%B6Defender%E5%AD%98%E6%BC%8F%E6%B4%9E%E3%80%80%E5%B0%8F%E5%BF%83%E6%96%87%E4%BB%B6%E9%81%AD%E6%B0%B8%E4%B9%85%E5%88%AA%E9%99%A4,微軟確認防毒軟件Defender存漏洞　小心文件遭永久刪除,,,,,??人間有情,22/2/2022,https://hk.on.cc/hk/bkn/cnt/cnnews/20230222/bkn-20230222182111663-0222_00952_001.html,湛江市多幢樓房傾斜 居民陸續撤離,,,,,治安異腦,5/1/2023,https://tw.news.yahoo.com/8%E6%AD%B2%E7%AB%A5%E7%A2%BA%E8%A8%BA%E4%BD%B5%E7%99%BC%E8%85%A6%E8%86%9C%E7%82%8E%E4%BA%A1-%E9%86%AB%E5%BB%BA%E8%AD%B0%E6%89%93%E6%AC%A1%E4%B8%96%E4%BB%A3%E7%96%AB%E8%8B%97-092741256.html,8歲童確診併發腦膜炎亡 醫建議打次世代疫苗,,,
??Fire火暑熱,11/11/2022,Fire,https://hk.on.cc/hk/bkn/cnt/cnnews/20221111/bkn-20221111130308597-1111_00952_001.html,青浦區出租廠房起火　3死5傷,,,,,,HACK,13/12/2022,https://inews.hket.com/article/3420118/%E3%80%90%E8%99%9B%E6%93%AC%E8%B3%87%E7%94%A2%E3%80%91%E5%82%B3%E7%BE%8E%E5%8F%B8%E6%B3%95%E9%83%A8%E8%80%83%E6%85%AE%E8%B5%B7%E8%A8%B4%E5%B9%A3%E5%AE%89%E9%81%95%E5%8F%8D%E6%B4%97%E9%8C%A2%E3%80%80%E5%B9%A3%E5%AE%89%E9%81%8E%E5%8E%BB24%E5%B0%8F%E6%99%82%E6%B7%A8%E6%B5%81%E5%87%BA9.02%E5%84%84%E7%BE%8E%E5%85%83,傳美司法部考慮起訴幣安違反洗錢　幣安過去24小時淨流出9.02億美元,,,,,??人間有情,22/2/2022,https://hk.on.cc/hk/bkn/cnt/intnews/20230222/bkn-20230222200843416-0222_00992_001.html,八旬婦遛狗 遇3米巨鱷扯落池塘死亡,,,,,治安異腦,5/1/2023,https://www.hk01.com/%E7%86%B1%E7%88%86%E8%A9%B1%E9%A1%8C/853611/%E5%9C%8D%E7%88%90%E5%87%BA%E4%BA%8B-%E5%B1%B1%E6%9D%B1%E5%A5%B3%E5%AD%90%E7%82%AD%E7%88%90%E7%85%AE%E8%8C%B63%E5%B0%8F%E6%99%82-%E4%B8%80%E6%B0%A7%E5%8C%96%E7%A2%B3%E4%B8%AD%E6%AF%92%E9%9A%AA%E4%BA%A1-%E5%83%8F%E5%96%9D%E9%86%89%E4%BA%86,圍爐出事？山東女子炭爐煮茶3小時 一氧化碳中毒險亡：像喝醉了,,,
??Fire火暑熱,11/11/2022,Fire,https://tw.news.yahoo.com/1%E6%A0%B9%E8%8F%B8%E7%87%92%E6%8E%8939%E5%84%84-%E5%AE%B6%E6%A8%82%E7%A6%8F%E6%A5%8A%E6%A2%85%E5%80%89%E5%84%B2%E5%A4%A7%E7%81%AB-%E8%87%A8%E6%99%82%E5%B7%A5%E8%AA%8D%E9%8C%AF%E4%B8%8B%E5%A0%B4%E6%9B%9D-084240171.html,1根菸燒掉39億！家樂福楊梅倉儲大火 臨時工認錯下場曝,,,,,,HACK,12/12/2022,https://www.ithome.com.tw/news/154653,"超過4,000個有漏洞的Pulse Connect主機曝露於網際網路",,,,,??人間有情,22/2/2022,https://hk.on.cc/hk/bkn/cnt/news/20230222/bkn-20230222174029203-0222_00822_001.html,確診期間擅離隔離地點兼移除電子手環 24歲女子被罰款萬二元,,,,,治安異腦,5/1/2023,https://www.am730.com.hk/%E5%81%A5%E5%BA%B7/%E6%B8%AF%E5%A4%A7%E7%A0%94%E7%A9%B6-%E5%AE%89%E5%AE%AE%E7%89%9B%E9%BB%83%E4%B8%B8-%E6%9C%89%E6%9C%9B%E5%BB%B6%E9%95%B7%E7%BC%BA%E8%A1%80%E6%80%A7%E4%B8%AD%E9%A2%A8%E6%B2%BB%E7%99%82%E9%BB%83%E9%87%91%E6%9C%9F/355832,港大研究：安宮牛黃丸 有望延長缺血性中風治療黃金期,,,
??Fire火暑熱,11/11/2022,Fire,https://today.line.me/tw/v2/article/yzmnPxQ ,  苗栗木製品倉庫起大火！黑煙直竄天際　消防30分鐘內控制火勢  ,,,,,,HACK,12/12/2022,https://news.mingpao.com/pns/%E5%9C%8B%E9%9A%9B/article/20221212/s00014/1670780861670/13%E8%90%AC%E5%AE%A2%E8%B3%87%E6%96%99%E5%A4%96%E6%B3%84-%E6%BE%B3%E6%B4%B2%E9%9B%BB%E8%A8%8A%E7%A8%B1%E4%B8%8D%E6%B6%89%E9%BB%91%E5%AE%A2,13萬客資料外泄 澳洲電訊稱不涉黑客,,,,,??人間有情,23/2/2022,https://www.hk01.com/article/870220?utm_source=01articlecopy&utm_medium=referral,觀塘協和街4男女大混戰 菜檔職員疑用長刀施襲,,,,,治安異腦,6/1/2023,https://www.epochtimes.com/gb/23/1/6/n13900450.htm,COVID疫苗是什麼機制及造成傷害的原因,,,
??Fire火暑熱,11/11/2022,Fire,https://today.line.me/tw/v2/article/1D0m8L9,高雄物流車底盤起火！濃煙竄天　女駕駛急逃躲死劫,,,,,,HACK,12/12/2022,https://www.epochtimes.com/b5/22/12/11/n13882844.htm,黑客侵入安省COVID-19疫苗系統 波及36萬人,,,,,??人間有情,23/2/2022,https://www.hk01.com/article/870109?utm_source=01articlecopy&utm_medium=referral,智障男遭認錯坐9年冤獄 證真名仍有罪 家屬：法官何不多看一眼,,,,,治安異腦,6/1/2023,https://news.mingpao.com/pns/%E6%B8%AF%E8%81%9E/article/20230106/s00002/1672937646064/%E7%81%A3%E5%8D%80%E6%89%8B%E8%A8%98-%E6%AD%BB%E5%9B%A0%E9%9D%9E%E6%96%B0%E5%86%A0%EF%BC%88%E4%B8%80%EF%BC%89-%E6%96%87-%E5%B0%9A%E6%9D%B1%E7%BE%8E,灣區手記：死因非新冠（一） ／文：尚東美,,,
??Fire火暑熱,11/11/2022,Fire,https://news.tvbs.com.tw/world/1959362,日職棒傳奇球星村田兆治家中失火　送醫不治享壽72歲,,,,,,HACK,12/12/2022,https://www.bnext.com.tw/article/73176/vanuatu-internet-202212,被駭客攻擊，瓦努阿圖國家網路癱瘓1個月！公務員只能用紙筆、3成系統還在修,,,,,??人間有情,23/2/2022,https://hk.on.cc/hk/bkn/cnt/intnews/20230223/bkn-20230223030426754-0223_00992_001.html,5歲童陪父親上班 流浪狗圍攻致死,,,,,治安異腦,6/1/2023,https://www.epochtimes.com/b5/23/1/5/n13900282.htm,疫情雪崩北京醫院缺病床 患者坐輪椅吸氧,,,
??Fire火暑熱,10/11/2022,Fire,https://www.hk01.com/article/834973?utm_source=01articlecopy&utm_medium=referral,杭州冰雪大世界爆炸致6死　事故原因：電焊違章操作　8人被刑拘,,,,,,HACK,12/12/2022,https://news.cnyes.com/news/id/5034352,BlockBeats 律動財經2022/12/12 11:30,,,,,??人間有情,23/2/2022,https://hk.on.cc/hk/bkn/cnt/intnews/20230223/bkn-20230223032002846-0223_00992_001.html,高中女教師上課時遭男生刺死 疑兇落網,,,,,治安異腦,6/1/2023,https://times.hinet.net/news/24345360,【消失的蜜蜂】蜜蜂也要打疫苗？ 美國核可全球首款疫苗,,,
