,https://www.penana.com/article/794702,"New mutants XA, XB, XC, XD, XE, XF, XG, XH, XI, XJ, XK, XL",,,,https://www.penana.com/article/858986,"免疫系統 (自學中, 備用)",,,,,,,,,,
,https://www.penana.com/article/822411,"Blood Clotting and Spike, 血液凝結與刺突蛋白的關係",,,,https://nextstrain.org/ncov/open/global/6m,nextstrain,,,,,,,,,,
,https://www.penana.com/article/830084,對應刺突蛋白,,,,https://www.worldometers.info/tw/,世界人口,,,,,,,,,,
,https://www.penana.com/article/842574,Quercetin 槲皮素(洋蔥素),,,,http://deathmeters.info/,Total Deaths,,,,,,,,,"AN EPIDEMIC is a disease that affects a large number of people within a community, population, or region.",
,https://www.nature.com/articles/s41392-021-00691-4,何謂二價疫苗？,,,,,,,,,,,,,,A PANDEMIC is an epidemic that’s spread over multiple countries or continents.,
,,,,,,,,,,,,,,,,ENDEMIC is something that belongs to a particular people or country.,
,Date,type,type,link,Description,傳播方式,,,,,,,,,,"AN OUTBREAK is a greater-than-anticipated increase in the number of endemic cases. It can also be a single case in a new area. If it’s not quickly controlled, an outbreak can become an epidemic.",
,,,,,,,,,,,,,,,,流行病是一種影響社區、人口或地區內大量人群的疾病。,
,2023-2028,VHFs,,https://www.cdc.gov/vhf/about.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fvhf%2Fvirus-families%2Findex.html,,,,,,常見疾病表,,,,,,大流行是一種蔓延到多個國家或大陸的流行病。,
,2023-2028,基孔肯雅熱,,https://zh.m.wikipedia.org/zh-hk/%E5%9F%BA%E5%AD%94%E8%82%AF%E9%9B%85%E7%86%B1,,,,,,,,,傳播途徑,ＬＩＮＫ,,地方病是屬於特定民族或國家的東西。,
,2023-2028,屈公病,,https://zh.m.wikipedia.org/zh-hk/%E5%9F%BA%E5%AD%94%E8%82%AF%E9%9B%85%E7%86%B1,,,,,,Dengue,Dengue Fever,登革熱,蚊,https://www.chp.gov.hk/tc/healthtopics/content/24/19.html,,爆發是地方病病例數量的增加超出預期。 它也可以是一個新領域的單一案例。 如果不能迅速控制，爆發可能會變成流行病。,
,2023-2028,瘧疾,Malaria,https://www.chp.gov.hk/tc/healthtopics/content/24/30.html,,,,,,EBOLA,Ebola Virus Disease,埃博拉（伊波拉）病毒病,密切接觸分泌物,https://www.cfs.gov.hk/english/multimedia/multimedia_pub/files/FSF98_2014_09_17.pdf,,,
,2023-2028,霍亂,Cholera,https://www.chp.gov.hk/tc/healthtopics/content/24/16.html,,,,,,ENTEROVIRUS,Enterovirus,腸病毒,密切接觸經由吃到被污染的食物、水、玩具、口水等或經由呼吸道(飛沫、咳嗽等)傳染，故為了避免被感染應經常正確洗手尤其吃東西前一定洗手、不吃生食、兒童玩具經常清洗與消毒、室內保持良好的通風環境、流行期間避免到公共場所、感染者盡量在家休息至少3-5天，都是預防腸病毒感染有效途徑。分泌物,https://zh.m.wikipedia.org/zh-hk/%E8%85%B8%E9%81%93%E7%97%85%E6%AF%92,,,
,2023-2028,鼠疫,"Plague Rat
(Yersinia pestis)",https://www.chp.gov.hk/tc/healthtopics/content/24/3028.html,,,,,,FLU,Seasonal influenza,流感,,,,,
,2023-2028,"紅眼症
(腺病毒及腸病毒)","Acute Infectious Conjunctivitis
(red-eye)",https://www.chp.gov.hk/en/healthtopics/content/24/6529.html,,,,,,MEASLES,,麻疹,,,,,
,2023-2028,萊姆病,Lyme Disease,https://zh.m.wikipedia.org/zh-hk/%E8%8E%B1%E5%A7%86%E7%97%85,,,,,,MONKEYPOX,,ＭＯＮＫＥＹＰＯＸ,,,,,
,2023-2028,"萊姆病
防治工作手冊",Lyme Disease,https://www.cdc.gov.tw/File/Get/I3Hug9H_c2_Uaca_4eNvlw,,,,,,MUMPS,parotitis,流行性腮腺炎,,,,,
,2023-2028,人類副腸孤病毒,Human parechovirus,https://my.clevelandclinic.org/health/diseases/23496-parechovirus,,,,,,NCOV,COVID-19,2019冠狀病毒病,,,,,
,2023-2028,人類副腸孤病毒,Human parechovirus,https://journals.asm.org/doi/10.1128/CMR.00047-17,Human Parechovirus: an Increasingly Recognized Cause of Sepsis-Like Illness in Young Infants,,,,,NEXTCLADE,,ＮＥＸＴＣＬＡＤＥ,,,,,
,2023-2028,人類副腸孤病毒,Human parechovirus,https://www.grb.gov.tw/search;keyword=Human%20enteric%20virus;type=GRB05;scope=1,GRB 政府研究資訊系統,,,,,ＴＢ,,ＴＢ,,,,,
,2023-2028,布氏桿菌病,,https://www.country.org.tw/%E8%A1%9B%E6%95%99%E5%9C%92%E5%9C%B0/%E9%98%B2%E7%96%AB%E6%96%B0%E7%9F%A5/424,,接觸到感染動物的組織、吃或喝到汙染的奶製品。當綿羊、山羊、母牛或駱駝受感染時，其所產生的牛奶會沾染此細菌，若牛奶沒有經過加熱殺菌，則這些細菌便可能傳播給喝牛奶或吃乳酪的人。另外，從事屠宰業、畜牧業者、獵人或獸醫，也可能從皮膚上的傷口接觸到病畜的體液或血液而受到感染。,,,,ＷＮＶ,West Nile Virus,西尼羅河病毒,,,,,
,2023-2028,布氏桿菌病,,https://www.country.org.tw/%E8%A1%9B%E6%95%99%E5%9C%92%E5%9C%B0/%E9%98%B2%E7%96%AB%E6%96%B0%E7%9F%A5/424,,汙染的奶製品,,,,ＺＩＫＡ,Zika virus infection,寨卡病毒,,,,,
,2023-2028,輪狀病毒,Rotavirus,https://www.chp.gov.hk/tc/healthtopics/content/24/38.html,秋天來了 兩大腸胃病毒發威,接觸罹病者的排泄物、嘔吐物或吸入含有病毒的飛沫,,,,,,,,,,,
,2023-2028,腦膜炎雙球菌感染,Meningococcal,https://www.chp.gov.hk/tc/healthtopics/content/24/2086.html,突發性發燒、劇烈頭痛、皮膚出現瘀斑、休克，而嚴重者甚至會致命,此病主要經由患者咳嗽或打噴嚏而產生的飛沫或直接接觸患者呼吸道分泌物而傳播,,,,,,,,,,,
,2023-2028,詹姆斯敦峽谷病毒,Jamestown Canyon virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4530766/,-,蚊,,,,,,,,,,,
,2023-2028,蟲媒病毒感染,-,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5089063/,,Arbovirus Infections,,,,,,,,,,,
,2023-2028,拉克羅斯病毒,La Crosse virus,https://www.x-mol.com/paper/1418039548499820544/t,-,Arbovirus Infections,,,,,,,,,,,
,2023-2028,詹姆斯敦峽谷病毒 (JCV) 和水痘帶狀皰疹病毒 (VZV) 合併感染的腦炎,Jamestown canyon virus (JCV) and varicella zoster virus (VZV),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7658693/,,蚊,,,,,,,,,,,
,2023-2028,?端螺旋體病,Leptospirosis,https://www.chp.gov.hk/tc/healthtopics/content/24/3056.html,發高燒、嚴重頭痛、冷顫、肌肉疼痛和嘔吐，亦可能出現黃疸、紅眼、腹痛、腹瀉或出疹等症狀,受感染動物（尤其是齧齒動物）尿液污染的水、食物或土壤可傳播此病給人類,,,,,,,,,,,
,2023-2028,白喉,Diphtheria,https://www.chp.gov.hk/tc/healthtopics/content/24/3056.html,發燒、喉痛、喉嚨出現一片片淺灰色的薄膜及呼吸困難。嚴重者會令呼吸道閉塞、心臟衰竭和神經受損，甚至令患者死亡。,,,,,,,,,,,,
,2023-2028,H3N2v流感,H3N2v influenza,https://zh.m.wikipedia.org/zh-hk/A%E5%9E%8B%E6%B5%81%E6%84%9F%E7%97%85%E6%AF%92H3N2%E4%BA%9E%E5%9E%8B,1968年和1969年的這次大流行在世界範圍上造成了估計約100萬人的死亡。,豬,,,,,,,,,,,
,2023-2028,傷寒與副傷寒,Typhoid Fever and Paratyphoid Fever,https://www.chp.gov.hk/tc/healthtopics/content/24/48.html,影響全身，涉及多個器官的傳染病。常見的病徵包括持續發燒、頭痛、疲倦、噁心、肚痛、食慾不振和便秘或腹瀉（在成年患者當中，便秘較腹瀉常見）。部分患者身軀會出現玫瑰紅色斑點，以及脾臟和肝臟發大的情況。嚴重個案的患者可能會出現可致命的腸臟出血及穿破的併發症。除了出現病徵的患者，一些全無症狀的受感染者，也可以從糞便或尿液排出體內的細菌。此外，少數人（稱為帶菌者）會在康復後繼續將細菌從糞便中排出體外。,引致傷寒及副傷寒的細菌，會隨著患者的糞便及尿液排出體外，污染食物、水源或飲料，其他人食用這些東西便會染病。貝殼類海產（尤其是蠔）、未經煮熟的蔬果及未經消毒處理的奶類及其製品，均特別容易受到污染。,,,,,,,,,,,
,2023-2028,痲診,,,,,,,,,,,,,,,
,2023-2028,MIS-C,Multisystem inflammatory syndrome in children,https://pansci.asia/archives/351260,兒童多系統發炎症候群,,,,,,,,,,,,
,2023-2028,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,Date,type,type,link,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,19/11/2022,illness,https://www.hk01.com/article/833787?utm_source=01articlecopy&utm_medium=referral,柏金遜症｜中醫2方法減緩腦部慢性退化　1食療助減少抖動活化腦部,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,19/11/2022,depravation,https://hk.on.cc/hk/bkn/cnt/cnnews/20221119/bkn-20221119090038045-1119_00952_001.html,女嬰顱內出血昏迷　保母堅稱「沒事發生」,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,19/11/2022,depravation,https://news.tvbs.com.tw/world/1966148,婦做子宮摘除手術　密醫偷器官「醒後2顆腎臟不見」,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,18/11/2022,depravation,https://www.hk01.com/article/837703?utm_source=01articlecopy&utm_medium=referral,廣東疫情｜新增本土個案首破1萬宗廣州佔98%　增城多地劃高風險區,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,18/11/2022,illness,https://www.hk01.com/article/837724?utm_source=01articlecopy&utm_medium=referral,肝癌早期無聲無息 患者確診多屬晚期,,,,,,,,,,,,,
